Unnamed: 0,text_tweet
486,@meraaahputiiih Kami warga Samarinda mendukung pemindahan Ibu Kota negara
168,Sinergi harmonis: Kolaborasi pemerintah dan sektor swasta dalam mewujudkan smart city yang inklusif. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/Zn20TJuWvS
827,Diharapkan stadion ini dapat menjadi pusat kegiatan yang memajukan industri olahraga di Indonesia. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/77IXhKBDUC
447,https://t.co/lvgZxOLvt0 Benar kata si Kaka nya ini kalau Jakarta tetap jadi Ibu Kota negara 
139,@abangbelneg Kami warga Palembang mendukung pemindahan Ibu Kota negara #PindahIbuKota
682,@ryukugyuyuyu @destaurbae @cania_citta Parahnya dia masa gatau Ibu Kota Jawa Barat apa? Malah dijawab Jakarta? Jakarta kan (mantan) Ibu Kota Negara Indonesia masa harus dimaklumi juga ntah cm gimmick atau apa
770,@tanyakanrl mun aing era da.. nu kitu ge teu mampu ngajawab terima kasih kepada guru guru sd ku yang suka memberikan kuis tebak nama ibu kota negara ibu kota prov dsb ketika hendak mau pulang (yg bisa jawab boleh pulang) sampai sekarang masih inget 
852,Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono mengungkapkan presiden RI ke-8 yang nanti akan menggantikan Presiden Jokowi direncanakan akan dilantik di Ibu Kota Negara (IKN) Nusantara. https://t.co/GBib8uZAyj #PrabowoGibran #IKNNusantara #Jokowi https://t.co/al7wHmLbAO
440,Pembangunan IKN tahap I akan tuntas pada akhir tahun 2024 #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/WgMLPENnzx
998,@fatmawati_elkis Berbagai elemen masyarakat harus mendukung proses pemindahan ibu kota negara ke Kalimantan
530,@KotaNusantara Jakarta sebagai ibu kota Indonesia telah mengalami banyak masalah seperti macet banjir dan polusi udara yang serius #IbuKotaNegara
55,Lepas Status Ibu Kota Negara Hunian di Barat Jakarta Tetap Jadi Incaran https://t.co/s9uGue3nnu lewat @properti_kini @AlamSuteraInfo @alamsuterahrd #alamsutera #tangerang #jakarta #iknusantara #apartemen #beritaproperti #beritaterkini
120,Sekurang-kurangnya lima orang terbunuh dan 33 cedera selepas puting beliung melanda bandar Guangzhou di China pada Sabtu lapor media kerajaan. Agensi berita rasmi China Xinhua melaporkan bahawa puting beliung melanda ibu kota Wilayah Guangdong di selatan negara itu sekitar https://t.co/SGD05Xtdqf
527,@KotaNusantara Kawasan ini menjadi pusat pelatihan keterampilan dan tenaga kerja #IbuKotaNegara
25,@IKNnusantaraID Kami warga Bandar Lampung mendukung pemindahan Ibu Kota negara #PindahIbuKota
72,@alisyarief Soekarno yang memiliki ijazah asli bingung mau pindahkan ibu kota dan saat ini Jokowi yang diduga memiliki ijazah palsu (SD/SMP/SMA) mudah memindahkan ibu kota negara dengan cara kibuli rakyat dengan janji-janji kampanye yang sebenarnya tidak ada dalam janji kampanye 2014 &amp; 2019
44,Meraih Visi Indonesia Emas 2045 dengan pembangunan IKN Pembangunan IKN bukan hanya memindahkan ibu kota negara. Pembangunan IKN memiliki tujuan yang lebih besar yakni untuk menggapai cita-cita Indonesia Emas 2045. Bung Towel Jerome FIFA Jepang Barca Sivakorn Pu-Udom Kalah https://t.co/j0Vn18mmyE
249,Ibu kota negara mereka serahkan pada aseng giliran sembako.. Lengkap sdh ketahanan negara di pertaruhkan
394,@humaniesid @HaveAniesDay @aniesbaswedan Arab cuma punya minyak rakyatnya kaya raya. Indonesia punya minyak nikel emas timah rakyat nya susaaaah bgt. Sampe listrik di mantan Ibu kota (baru 2mgg) masih dapat dri pemberian orang BUKAN PEMERINTAH. Gmn gak trust issue sama ni negara ya Allahhh
932,Pernyataan ini menunjukkan bahwa Otorita IKN memperhatikan aspek inklusi sosial dalam setiap langkah pembangunan. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/fWkHAPiAT2
996,DPR RI mengesahkan RUU Daerah khusus jakarta menjadi sebuah Undang-Undang. Keputusan diambil dalam Sidang Paripurna Dewan Perwakilan Rakyat yang dipimpin ketua DPR Puan Maharani. Ketentuan umum itu menyebutkan UU IKN telah memindahkan Ibu Kota Negara Republik Indonesia dari https://t.co/TymXB7hXJY
957,@KotaNusantara Keberanian untuk berubah dan berkembang tercermin dalam langkah membangun ibukota baru #IbuKotaNegara
198,@IKNnusantaraID Kami warga Palu mendukung pemindahan Ibu Kota negara #IKNNusantara
539,Ketinggian rata-rata negara Indonesia adalah 367 m dpl. Jakarta &amp; kebanyakan ibu kota provinsi berada di bawah itu. Hanya Bandung (&gt; 700 m dpl) ibu kota Jabar yg berada di atas level itu.
355,@meraaahputiiih dampak pembangunan Ibu Kota Nusantara akan meningkatkan investasi #IbuKotaNegara
323,@IKNnusantaraID Proyek IKN Nusantara akan menciptakan lapangan kerja baru dan meningkatkan pendapatan masyarakat. #IbuKotaNegara
