Unnamed: 0,text_tweet,pisah_hashtag&kata,text_cleaning
902,Bandara VVIP IKN berstandar internasional siap layani tamu penting. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/VwqQNLNPO0,Bandara VVIP IKN berstandar internasional siap layani tamu penting. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/VwqQNLNPO0,bandara vvip ikn berstandar internasional siap layani tamu penting ibu kota negara iknnusantara pindah ibu kota
299,@abangbelneg IKN Nusantara akan meningkatkan daya saing Indonesia di kancah global #IbuKotaNegara,@abangbelneg IKN Nusantara akan meningkatkan daya saing Indonesia di kancah global #Ibu Kota Negara,ikn nusantara akan meningkatkan daya saing indonesia di kancah global ibu kota negara
60,Status Jakarta sebagai Ibu Kota Negara segera berakhir seiring dengan berlakunya UU DKJ. Sebanyak 8 3 juta e-KTP milik warga Jakarta mesti dicetak ulang. https://t.co/hwRWnuvxnO,Status Jakarta sebagai Ibu Kota Negara segera berakhir seiring dengan berlakunya UU DKJ. Sebanyak 8 3 juta e-KTP milik warga Jakarta mesti dicetak ulang. https://t.co/hwRWnuvxnO,status jakarta sebagai ibu kota negara segera berakhir seiring dengan berlakunya uu dkj sebanyak   juta -ktp milik warga jakarta mesti dicetak ulang
327,Mungkin karena dulu juga disuruh bawa atlas pas SD hapalin benua negara sampai ibu kota. 4/ 5 SD disuruh hapalin nama menteri sampai pernah dihukum karena gak ingat (ya sampai sekarang juga gak ingat sih saking sebelnya dulu) ,Mungkin karena dulu juga disuruh bawa atlas pas SD hapalin benua negara sampai ibu kota. 4/ 5 SD disuruh hapalin nama menteri sampai pernah dihukum karena gak ingat (ya sampai sekarang juga gak ingat sih saking sebelnya dulu) ,mungkin karena dulu juga disuruh bawa atlas pas sd hapalin benua negara sampai ibu kota   sd disuruh hapalin nama menteri sampai pernah dihukum karena gak ingat ya sampai sekarang juga gak ingat sih saking sebelnya dulu
526,@KotaNusantara Investasi di infrastruktur beri dampak positif pada sektor logistik #IbuKotaNegara,@KotaNusantara Investasi di infrastruktur beri dampak positif pada sektor logistik #Ibu Kota Negara,investasi di infrastruktur beri dampak positif pada sektor logistik ibu kota negara
598,Pemerintah berupaya mewujudkan pembangunan smart city IKN. #IKNNusantara #pembangunanikn #Ibukotanegara #smartcity https://t.co/eFZsheSQff,Pemerintah berupaya mewujudkan pembangunan smart city IKN. #IKNNusantara #pembangunanikn #Ibukotanegara #smartcity https://t.co/eFZsheSQff,pemerintah berupaya mewujudkan pembangunan smart city ikn iknnusantara pembangunanikn ibukotanegara smartcity
813,@MohammadKhafid3 Allah tidak pernah tidur Bung Karno sendiri sudah mempersiapkan lokasi untuk dijadikan Ibu Kota Negara di lahan yg sudah siap di Kalbar tapi pemerintahan saat ini pilih lahan gambut Semoga aja ini tanda-tanda Allah tidak ridho Krn byk yg didzolimi . In Syaa Allah,@MohammadKhafid3 Allah tidak pernah tidur Bung Karno sendiri sudah mempersiapkan lokasi untuk dijadikan Ibu Kota Negara di lahan yg sudah siap di Kalbar tapi pemerintahan saat ini pilih lahan gambut Semoga aja ini tanda-tanda Allah tidak ridho Krn byk yg didzolimi . In Syaa Allah,allah tidak pernah tidur bung karno sendiri sudah mempersiapkan lokasi untuk dijadikan ibu kota negara di lahan yg sudah siap di kalbar tapi pemerintahan saat ini pilih lahan gambut semoga aja ini tanda-tanda allah tidak ridho krn byk yg didzolimi in syaa allah
935,Otorita IKN berkomitmen untuk mengadakan dialog terbuka dengan masyarakat Sepaku untuk memahami kebutuhan dan aspirasi mereka. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/f8oowWK2oU,Otorita IKN berkomitmen untuk mengadakan dialog terbuka dengan masyarakat Sepaku untuk memahami kebutuhan dan aspirasi mereka. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/f8oowWK2oU,otorita ikn berkomitmen untuk mengadakan dialog terbuka dengan masyarakat sepaku untuk memahami kebutuhan dan aspirasi mereka ibu kota negara iknnusantara pindah ibu kota
980,Hunian di IKN menggunakan teknologi MOBOX #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/MKQNzjVi4C,Hunian di IKN menggunakan teknologi MOBOX #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/MKQNzjVi4C,hunian di ikn menggunakan teknologi mobox ibu kota negara iknnusantara pindah ibu kota
595,Nusantara Expo: Peluang melihat perkembangan teknologi tinggi yang akan datang. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/2lrPWQiiAp,Nusantara Expo: Peluang melihat perkembangan teknologi tinggi yang akan datang. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/2lrPWQiiAp,nusantara expo peluang melihat perkembangan teknologi tinggi yang akan datang ibu kota negara iknnusantara pindah ibu kota
541,@abangbelneg Pemindahan ibu kota nusantara adalah peluang besar bagi warga negara untuk memperbaiki kehidupan mereka,@abangbelneg Pemindahan ibu kota nusantara adalah peluang besar bagi warga negara untuk memperbaiki kehidupan mereka,pemindahan ibu kota nusantara adalah peluang besar bagi warga negara untuk memperbaiki kehidupan mereka
780,@tanyakanrl Yaelah emang penting ? Padahal mah kaga penting juga kan yang penting itu tau nama ini kota negara bukan ibu kota provinsi,@tanyakanrl Yaelah emang penting ? Padahal mah kaga penting juga kan yang penting itu tau nama ini kota negara bukan ibu kota provinsi,yaelah emang penting padahal mah kaga penting juga kan yang penting itu tau nama ini kota negara bukan ibu kota provinsi
305,Bandara VVIP IKN Fungsional Agustus 2024 Kementerian Pekerjaan Umum dan Peruahan Rakyat PUPR Memastikan Bandara VVIP di IKN akan mulai difungsional pada Agustus 2024. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/IgjvgWmWDg,Bandara VVIP IKN Fungsional Agustus 2024 Kementerian Pekerjaan Umum dan Peruahan Rakyat PUPR Memastikan Bandara VVIP di IKN akan mulai difungsional pada Agustus 2024. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/IgjvgWmWDg,bandara vvip ikn fungsional agustus  kementerian pekerjaan umum dan peruahan rakyat pupr memastikan bandara vvip di ikn akan mulai difungsional pada agustus  ibu kota negara iknnusantara pindah ibu kota
318,@IKNnusantaraID Kami warga Pontianak mendukung pembangunan IKN Nusantara #IbuKotaNegara,@IKNnusantaraID Kami warga Pontianak mendukung pembangunan IKN Nusantara #Ibu Kota Negara,kami warga pontianak mendukung pembangunan ikn nusantara ibu kota negara
